bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Sé,Rua Benjamim Constant 68,35.0,1.0,1.0,0,R$ 1.500,,"Rua Benjamim Constant 68, Sé, São Paulo, São Paulo, Brasil",-23.54983,-46.6347181,1500.0
Sé,Rua dos Estudantes 242,55.0,1.0,1.0,0,R$ 1.500,R$ 800 Condominio,"Rua dos Estudantes 242, Sé, São Paulo, São Paulo, Brasil",-23.5555321,-46.6328231,1500.0
Sé,"Rua Tabatinguera,",44.0,1.0,1.0,1,R$ 1.500,R$ 496 Condominio,"Rua Tabatinguera,, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1500.0
Vila Buarque,Endereço não informado,39.0,1.0,1.0,0,R$ 1.500,R$ 598 Condominio,"Endereço não informado, Vila Buarque, São Paulo, São Paulo, Brasil",-23.6349061,-46.7008844,1500.0
Luz,Avenida Cásper Líbero,26.0,1.0,1.0,0,R$ 1.500,R$ 534 Condominio,"Avenida Cásper Líbero, Luz, São Paulo, São Paulo, Brasil",-23.5370939,-46.6356899,1500.0
Centro,RUA JOAO PESSOA,48.0,1.0,1.0,1,R$ 1.500,R$ 1.937 Condominio,"RUA JOAO PESSOA, Centro, São Paulo, São Paulo, Brasil",-23.7102301,-46.5485903,1500.0
Vila Buarque,Rua Jaguaribe 55,45.0,1.0,1.0,0,R$ 1.500,R$ 180 Condominio,"Rua Jaguaribe 55, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5418157,-46.6483571,1500.0
Sé,Avenida Rangel Pestana 1088,32.0,1.0,1.0,0,R$ 1.500,R$ 280 Condominio,"Avenida Rangel Pestana 1088, Sé, São Paulo, São Paulo, Brasil",-23.5477101,-46.6233878,1500.0
Sé,Endereço não informado,44.0,2.0,1.0,0,R$ 1.500,R$ 131 Condominio,"Endereço não informado, Sé, São Paulo, São Paulo, Brasil",-23.6349061,-46.7008844,1500.0
Centro,Rua Doutor Falcão Filho 151,45.0,1.0,1.0,0,R$ 1.500,R$ 454 Condominio,"Rua Doutor Falcão Filho 151, Centro, São Paulo, São Paulo, Brasil",-23.5484362,-46.63812009999999,1500.0
Centro,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.500,R$ 480 Condominio,"Rua dos Andradas, Centro, São Paulo, São Paulo, Brasil",-23.5384537,-46.6378847,1500.0
Centro,Avenida Cásper Líbero,36.0,1.0,1.0,0,R$ 1.500,R$ 450 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1500.0
Centro,Endereço não informado,53.0,1.0,1.0,0,R$ 1.500,R$ 380 Condominio,"Endereço não informado, Centro, São Paulo, São Paulo, Brasil",-23.5406338,-46.6320967,1500.0
Centro,Endereço não informado,24.0,1.0,1.0,0,R$ 1.500,,"Endereço não informado, Centro, São Paulo, São Paulo, Brasil",-23.5406338,-46.6320967,1500.0
Vila Buarque,"R AMARAL GURGEL, 452",40.0,1.0,1.0,0,R$ 1.500,R$ 448 Condominio,"R AMARAL GURGEL, 452, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5458619,-46.6480272,1500.0
Centro,Rua Florêncio de Abreu,25.0,1.0,1.0,0,R$ 1.500,R$ 436 Condominio,"Rua Florêncio de Abreu, Centro, São Paulo, São Paulo, Brasil",-23.5398983,-46.6328623,1500.0
Centro,Rua Álvaro de Carvalho,27.0,1.0,1.0,1,R$ 1.502,R$ 688 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1502.0
